predio_id,endereco,bairro,cidade,estado,cep
PREDIO_0001,"Praça de Câmara, 3",Santo André,Caucaia,CE,93260-708
PREDIO_0002,"Esplanada Sophia Guerra, 333",Solar Do Barreiro,Itapipoca,CE,91041764
PREDIO_0003,"Quadra de Rodrigues, 42",Vila Aeroporto,Pacatuba,CE,45283-473
PREDIO_0004,"Conjunto Arthur Gabriel Moura, 97",Santa Monica,Quixadá,CE,16003-527
PREDIO_0005,"Favela de Aragão, 5",Itatiaia,Fortaleza,CE,08357558
PREDIO_0006,Trecho de Porto,Vista Do Sol,Pacatuba,CE,76067166
PREDIO_0007,"Distrito de Sales, 475",Nova Esperança,Fortaleza,CE,32254-803
PREDIO_0008,Viaduto de da Cruz,Vila Piratininga,Fortaleza,CE,17003435
PREDIO_0009,"Feira de Cirino, 3",Caiçaras,Eusébio,CE,79279-384
PREDIO_0010,"Ladeira João Lucas Vargas, 98",Vila Das Oliveiras,Quixeramobim,CE,78612838
PREDIO_0011,"Sítio Isabela Sales, 518",Vila Suzana Segunda Seção,Quixadá,CE,70664-976
PREDIO_0012,"Aeroporto Ribeiro, 65",Vila Copacabana,Juazeiro do Norte,CE,03687-526
PREDIO_0013,Morro Viana,Nova Suíça,Juazeiro do Norte,CE,30978471
PREDIO_0014,"Conjunto Cavalcante, 950",Vila Trinta E Um De Março,Tianguá,CE,21448-421
PREDIO_0015,"Campo Camargo, 99",Buraco Quente,Caucaia,CE,09101-924
PREDIO_0016,"Viaduto Vinícius Vieira, 91",Jardim Atlântico,Maranguape,CE,84326052
PREDIO_0017,"Largo Yuri Pastor, 3",Delta,Fortaleza,CE,39223-950
PREDIO_0018,"Trecho Manuella Siqueira, 92",São Damião,Maracanaú,CE,51446-048
PREDIO_0019,"Aeroporto Lorena Camargo, 71",Santa Cruz,Juazeiro do Norte,CE,46053035
PREDIO_0020,"Rua Erick Câmara, 3",Conjunto Taquaril,Juazeiro do Norte,CE,25129-898
PREDIO_0021,"Campo Yasmin das Neves, 34",Saudade,Quixeramobim,CE,00868-841
PREDIO_0022,"Rua da Conceição, 20",Vila Nova Dos Milionarios,Juazeiro do Norte,CE,29597907
